City,Geohash,Latitude,Longitude,Longitude_SW,Latitude_SW,Longitude_NE,Latitude_NE,SeverityScore,IncidentsTotal
Toronto,dpz2yj6,43.75484,-79.53709,-79.53827,43.75443,-79.5369,43.7558,0.2689,202
Toronto,dpz3pd7,43.7823,-79.47002,-79.47098,43.78189,-79.4696,43.78326,0.3125,142
Toronto,dpz2q0v,43.64283,-79.53405,-79.53415,43.64182,-79.53278,43.64319,0.2105,136
Toronto,dpz3nc9,43.77876,-79.50593,-79.50668,43.77777,-79.50531,43.77914,0.5655,133
Toronto,dpz2yrr,43.76586,-79.51966,-79.52042,43.76541,-79.51904,43.76678,0.2061,131
Toronto,dpz2vuz,43.75213,-79.54214,-79.54239,43.75168,-79.54102,43.75305,0.0955,115
Toronto,dpz2ydw,43.73966,-79.51003,-79.5108,43.73932,-79.50943,43.74069,0.2647,114
Toronto,dpz2quu,43.66485,-79.5014,-79.50256,43.66379,-79.50119,43.66516,0.1955,110
Toronto,dpz2se2,43.69998,-79.606,-79.60693,43.69949,-79.60556,43.70087,0.3847,105
Toronto,dpz9kc6,43.82123,-79.24106,-79.24164,43.82034,-79.24026,43.82172,1.3971,102
Toronto,dpz3p9h,43.77603,-79.46867,-79.4696,43.77502,-79.46823,43.7764,0.1689,93
Toronto,dpz8d5w,43.7019,-79.35619,-79.35699,43.70087,-79.35562,43.70224,0.27,91
Toronto,dpz2zpn,43.76416,-79.48812,-79.48883,43.76404,-79.48746,43.76541,0.2551,89
Toronto,dpz9jgs,43.78929,-79.19426,-79.19495,43.78876,-79.19357,43.79013,0.1104,88
Toronto,dpz8bvz,43.75791,-79.41001,-79.41055,43.75717,-79.40918,43.75854,0.0413,85
Toronto,dpz8dqz,43.71898,-79.34393,-79.34464,43.71872,-79.34326,43.72009,0.2159,84
Toronto,dpz8dxm,43.72175,-79.33577,-79.3364,43.72147,-79.33502,43.72284,0.1775,83
Toronto,dpz8dht,43.7071,-79.35828,-79.35837,43.70636,-79.35699,43.70773,0.491,83
Toronto,dpz3p06,43.77205,-79.49326,-79.49432,43.7709,-79.49295,43.77228,0.1818,81
Toronto,dpz2xez,43.70343,-79.46451,-79.46548,43.70224,-79.46411,43.70361,0.2885,80
Toronto,dpz8sjf,43.71363,-79.27399,-79.2746,43.71323,-79.27322,43.7146,0.273,77
Toronto,dpz2tmm,43.71151,-79.56652,-79.56711,43.71048,-79.56573,43.71185,0.0595,76
Toronto,dpz8ut0,43.7535,-79.25522,-79.25537,43.75305,-79.254,43.75443,0.1676,74
Toronto,dpz8byp,43.75908,-79.41028,-79.41055,43.75854,-79.40918,43.75992,0.0437,73
Toronto,dpz3p9s,43.77822,-79.4691,-79.4696,43.77777,-79.46823,43.77914,0.1451,73
Toronto,dpz9jxt,43.81142,-79.20378,-79.20456,43.81073,-79.20319,43.8121,0.2852,71
Toronto,dpz86e7,43.65651,-79.33818,-79.33914,43.65555,-79.33777,43.65692,0.0983,69
Toronto,dpz3pgs,43.78977,-79.45815,-79.45862,43.78876,-79.45724,43.79013,0.1877,69
Toronto,dpz2z39,43.73475,-79.48393,-79.48471,43.73383,-79.48334,43.7352,0.2487,68
Toronto,dpz86gk,43.65644,-79.32626,-79.32678,43.65555,-79.32541,43.65692,0.073,66
Toronto,dpz2vur,43.74939,-79.54179,-79.54239,43.74893,-79.54102,43.75031,0.1964,65
Toronto,dpz2n5t,43.61419,-79.53359,-79.53415,43.61298,-79.53278,43.61435,0.1904,65
Toronto,dpz2y4z,43.74159,-79.5307,-79.5314,43.74069,-79.53003,43.74207,0.229,64
Toronto,dpz2wp4,43.72055,-79.53738,-79.53827,43.72009,-79.5369,43.72147,0.191,62
Toronto,dpz9n01,43.77067,-79.1869,-79.18808,43.76953,-79.18671,43.7709,0.074,61
Toronto,dpz902f,43.7748,-79.43822,-79.43939,43.77365,-79.43802,43.77502,0.2417,61
Toronto,dpz2y0g,43.72991,-79.53633,-79.5369,43.72971,-79.53552,43.73108,0.2232,60
Toronto,dpz866j,43.6498,-79.34671,-79.34738,43.64868,-79.34601,43.65005,0.2051,60
Toronto,dpz2yj5,43.75342,-79.53611,-79.5369,43.75305,-79.53552,43.75443,0.0331,58
Toronto,dpz2y9j,43.73204,-79.51122,-79.51218,43.73108,-79.5108,43.73245,0.1776,57
Toronto,dpz8dxh,43.72134,-79.33665,-79.33777,43.72009,-79.3364,43.72147,0.0835,57
Toronto,dpz866m,43.65068,-79.34666,-79.34738,43.65005,-79.34601,43.65143,0.1833,57
Toronto,dpz2pqg,43.63105,-79.48124,-79.48196,43.63083,-79.48059,43.6322,0.2663,56
Toronto,dpz2yyw,43.76134,-79.49893,-79.49982,43.76129,-79.49844,43.76266,0.2384,55
Toronto,dpz9jvb,43.80197,-79.19983,-79.20044,43.80112,-79.19907,43.80249,0.0822,55
Toronto,dpz2sdn,43.69297,-79.5983,-79.59869,43.69263,-79.59732,43.694,0.249,54
Toronto,dpz8dhs,43.70696,-79.35855,-79.35974,43.70636,-79.35837,43.70773,0.2685,53
Toronto,dpz3p6k,43.7826,-79.47945,-79.48059,43.78189,-79.47922,43.78326,0.1757,52
Toronto,dpz8erb,43.72542,-79.30969,-79.3103,43.72421,-79.30893,43.72559,0.2804,51
Toronto,dpz972s,43.81669,-79.30388,-79.30481,43.81622,-79.30344,43.8176,0.1536,49
Toronto,dpz8ewu,43.71981,-79.29284,-79.29382,43.71872,-79.29245,43.72009,0.3661,49
Toronto,dpz95be,43.7728,-79.28351,-79.28421,43.77228,-79.28284,43.77365,0.0394,48
Toronto,dpz9kbj,43.81422,-79.23702,-79.23752,43.81348,-79.23615,43.81485,0.0601,48
Toronto,dpz9n37,43.77661,-79.17341,-79.17435,43.7764,-79.17297,43.77777,0.0894,48
Toronto,dpz2v8r,43.7275,-79.55258,-79.55338,43.72696,-79.552,43.72833,0.2626,48
Toronto,dpz2z6b,43.74155,-79.48565,-79.48608,43.74069,-79.48471,43.74207,0.1594,48
Toronto,dpz8c4d,43.7406,-79.40589,-79.40643,43.73932,-79.40506,43.74069,0.0951,47
Toronto,dpz8gb2,43.72779,-79.28767,-79.28833,43.72696,-79.28696,43.72833,0.0761,47
Toronto,dpz8dx5,43.72061,-79.33881,-79.33914,43.72009,-79.33777,43.72147,0.0737,46
Toronto,dpz962n,43.81466,-79.34503,-79.34601,43.81348,-79.34464,43.81485,0.2167,45
Toronto,dpz2nkf,43.62061,-79.52662,-79.52728,43.61984,-79.52591,43.62122,0.0372,45
Toronto,dpz95dz,43.78539,-79.28923,-79.2897,43.78464,-79.28833,43.78601,0.1152,44
Toronto,dpz2twm,43.71633,-79.55567,-79.55612,43.71597,-79.55475,43.71735,0.0478,44
Toronto,dpz2y43,43.73913,-79.53951,-79.53964,43.73795,-79.53827,43.73932,0.1246,44
Toronto,dpz8eph,43.7206,-79.31535,-79.3158,43.72009,-79.31442,43.72147,0.0894,44
Toronto,dpz2nm3,43.62307,-79.52772,-79.52866,43.62259,-79.52728,43.62396,0.2151,44
Toronto,dpz2rrz,43.68064,-79.47574,-79.47647,43.68027,-79.4751,43.68164,0.0795,43
Toronto,dpz9hx9,43.81094,-79.25296,-79.254,43.81073,-79.25262,43.8121,0.148,43
Toronto,dpz83fd,43.65222,-79.37263,-79.37347,43.65143,-79.3721,43.6528,0.0525,42
Toronto,dpz2y49,43.73972,-79.5395,-79.53964,43.73932,-79.53827,43.74069,0.1145,42
Toronto,dpz2gus,43.75127,-79.6334,-79.6344,43.75031,-79.63303,43.75168,0.1011,42
Toronto,dpz8erv,43.72485,-79.30271,-79.30344,43.72421,-79.30206,43.72559,0.0654,41
Toronto,dpz2u4d,43.74031,-79.62516,-79.62616,43.73932,-79.62479,43.74069,1.7009,40
Toronto,dpz3p69,43.7839,-79.48415,-79.48471,43.78326,-79.48334,43.78464,0.0978,40
Toronto,dpz8gqk,43.7604,-79.30448,-79.30481,43.75992,-79.30344,43.76129,0.1635,40
Toronto,dpz3p4m,43.7827,-79.48973,-79.4902,43.78189,-79.48883,43.78326,0.0713,39
Toronto,dpz8u1r,43.73256,-79.26696,-79.26773,43.73245,-79.26636,43.73383,0.1003,39
Toronto,dpz2wp6,43.72171,-79.53717,-79.53827,43.72147,-79.5369,43.72284,0.1866,39
Toronto,dpz89vd,43.71192,-79.37326,-79.37347,43.71185,-79.3721,43.71323,0.2391,39
Toronto,dpz8gjc,43.75802,-79.31894,-79.31992,43.75717,-79.31854,43.75854,0.113,39
Toronto,dpz2jzr,43.63467,-79.54157,-79.54239,43.63358,-79.54102,43.63495,0.1239,39
Toronto,dpz2v78,43.74498,-79.57357,-79.57397,43.74481,-79.5726,43.74619,0.1772,38
Toronto,dpz2q0s,43.64106,-79.53488,-79.53552,43.64044,-79.53415,43.64182,0.0481,38
Toronto,dpz2yn3,43.76006,-79.53944,-79.53964,43.75992,-79.53827,43.76129,0.0947,38
Toronto,dpz95t5,43.79767,-79.29445,-79.2952,43.797,-79.29382,43.79837,0.1516,38
Toronto,dpz2tjb,43.71447,-79.584,-79.58496,43.71323,-79.58359,43.7146,0.1843,38
Toronto,dpz2tg7,43.69965,-79.54772,-79.54788,43.69949,-79.54651,43.70087,0.1912,37
Toronto,dpz861d,43.64657,-79.36184,-79.36249,43.64594,-79.36111,43.64731,0.1834,37
Toronto,dpz95sk,43.79364,-79.29272,-79.29382,43.79288,-79.29245,43.79425,0.1103,37
Toronto,dpz9hec,43.79092,-79.25304,-79.254,43.79013,-79.25262,43.7915,0.204,37
Toronto,dpz9hmc,43.80149,-79.26381,-79.26498,43.80112,-79.26361,43.80249,0.122,36
Toronto,dpz8u3s,43.73409,-79.26026,-79.26086,43.73383,-79.25949,43.7352,0.1419,36
Toronto,dpz2q1x,43.64663,-79.53061,-79.5314,43.64594,-79.53003,43.64731,0.1195,36
Toronto,dpz8dr7,43.72276,-79.34889,-79.35013,43.72147,-79.34875,43.72284,0.2038,36
Toronto,dpz8gsc,43.752,-79.29733,-79.29794,43.75168,-79.29657,43.75305,0.1079,35
Toronto,dpz8g75,43.74306,-79.30554,-79.30618,43.74207,-79.30481,43.74344,0.0914,35
Toronto,dpz2snz,43.71895,-79.6186,-79.61929,43.71872,-79.61792,43.72009,0.1128,35
Toronto,dpz881h,43.68759,-79.44692,-79.44763,43.68713,-79.44626,43.68851,0.1308,35
Toronto,dpz2v4m,43.73907,-79.5771,-79.57809,43.73795,-79.57672,43.73932,0.1247,35
Toronto,dpz2zjt,43.7565,-79.48921,-79.4902,43.7558,-79.48883,43.75717,0.0933,35
Toronto,dpz8swu,43.71923,-79.24921,-79.24988,43.71872,-79.2485,43.72009,0.2233,34
Toronto,dpz3p6z,43.7858,-79.47586,-79.47647,43.78464,-79.4751,43.78601,0.1151,34
Toronto,dpz88wc,43.71927,-79.42957,-79.42978,43.71872,-79.42841,43.72009,0.0405,34
